"country_code","region_name","iata","icao","airport","latitude","longitude"
"AE","Abu Zaby","AAN","OMAL","Al Ain International Airport","24.2617","55.6092"
"AE","Abu Zaby","AUH","OMAA","Abu Dhabi International Airport","24.433","54.6511"
"AE","Abu Zaby","AYM","","Yas Island Seaplane Base","24.467","54.6103"
"AE","Abu Zaby","AZI","OMAD","Al Bateen Executive Airport","24.4283","54.4581"
"AE","Abu Zaby","DHF","OMAM","Al Dhafra Air Base","24.2482","54.5477"
"AE","Abu Zaby","XSB","OMBY","Sir Bani Yas Airport","24.2836","52.5803"
"AE","Abu Zaby","ZDY","OMDL","Dalma Airport","24.51","52.3352"
"AE","Al Fujayrah","FJR","OMFJ","Fujairah International Airport","25.1122","56.324"
"AE","Ash Shariqah","SHJ","OMSJ","Sharjah International Airport","25.3286","55.5172"
"AE","Dubayy","DCG","","Dubai Creek Seaplane Base","25.2422","55.3314"
"AE","Dubayy","DJH","","Jebel Ali Seaplane Base","24.989","55.0238"
"AE","Dubayy","DWC","OMDW","Al Maktoum International Airport","24.8964","55.1614"
"AE","Dubayy","DXB","OMDB","Dubai International Airport","25.2528","55.3644"
"AE","Dubayy","NHD","OMDM","Al Minhad Air Base","25.0268","55.3662"
"AE","Ra's al Khaymah","RHR","","Al Hamra Seaplane Base","25.691","55.778"
"AE","Ra's al Khaymah","RKT","OMRK","Ras Al Khaimah International Airport","25.6135","55.9388"
"AF","Badakhshan","DAZ","OADZ","Darwaz Airport","38.4611","70.8825"
"AF","Badakhshan","FBD","OAFZ","Fayzabad Airport","37.1211","70.5181"
"AF","Badakhshan","KUR","OARZ","Razer Airport","37.752","-89.0154"
"AF","Badakhshan","KWH","OAHN","Khwahan Airport","37.883","70.217"
"AF","Badakhshan","SGA","OASN","Sheghnan Airport","37.567","71.5"
"AF","Badghis","LQN","OAQN","Qala i Naw Airport","34.985","63.1178"
"AF","Balkh","MZR","OAMS","Mazar-e Sharif International Airport","36.7069","67.2097"
"AF","Bamyan","BIN","OABN","Bamyan Airport","34.817","67.817"
"AF","Farah","FAH","OAFR","Farah Airport","32.367","62.183"
"AF","Faryab","MMZ","OAMN","Maymana Airport","35.9308","64.7609"
"AF","Ghazni","GZI","OAGN","Ghazni Airport","33.5312","68.4129"
"AF","Ghazni","SBF","OADS","Sardeh Band Airport","33.3207","68.6365"
"AF","Ghor","CCN","OACC","Chaghcharan Airport","34.5265","65.271"
"AF","Helmand","BST","OABT","Bost Airport","31.5597","64.365"
"AF","Helmand","DWR","OADY","Dwyer Airport","31","64"
"AF","Helmand","OAZ","OAZI","Camp Bastion Air Base","31.8638","64.2246"
"AF","Herat","HEA","OAHR","Herat International Airport","34.21","62.2283"
"AF","Herat","OAH","OASD","Shindand Air Base","33.3913","62.261"
"AF","Herat","ZAJ","OAZJ","Zaranj Airport","30.9722","61.8658"
"AF","Kabul","GRG","OAGZ","Gardez Airport","33.6315","69.2394"
"AF","Kabul","KBL","OAKB","Kabul International Airport","34.5658","69.2131"
"AF","Kandahar","KDH","OAKN","Kandahar International Airport","31.5058","65.8478"
"AF","Kandahar","TII","OATN","Tarinkot Airport","32.6042","65.8658"
"AF","Kandahar","URZ","OARG","Uruzgan Airport","32.903","66.6309"
"AF","Khost","KHT","OAKS","Khost Airfield","33.3334","69.952"
"AF","Khost","OLR","OASL","Forward Operating Base Salerno","33.3638","69.9561"
"AF","Kunduz","UND","OAUZ","Kunduz Airport","36.6651","68.9108"
"AF","Logar","OAA","OASH","Forward Operating Base Shank","33.9225","69.0772"
"AF","Nangarhar","JAA","OAJL","Jalalabad Airport","34.3998","70.4986"
"AF","Paktika","OAS","OASA","Sharana Airstrip / Forward Operating Base Sharana","33.1258","68.8385"
"AF","Paktika","URN","OAOG","Urgun Airport","32.9318","69.1563"
"AF","Parwan","OAI","OAIX","Bagram Airfield","34.9461","69.265"
"AF","Takhar","TQN","OATQ","Taloqan Airport","36.7707","69.532"
"AG","Barbuda","BBQ","TAPH","Barbuda Codrington Airport","17.6358","-61.8286"
"AG","Saint George","ANU","TAPA","V. C. Bird International Airport","17.1367","-61.7927"
"AI","Anguilla","AXA","TQPF","Clayton J. Lloyd International Airport","18.2048","-63.0551"
"AM","Erevan","EVN","UDYZ","Zvartnots International Airport","40.1473","44.3959"
"AM","Sirak","LWN","UDSG","Gyumri Shirak Airport","40.7504","43.8593"
"AO","Bengo","AZZ","FNAM","Ambriz Airport","-7.86222","13.1161"
"AO","Benguela","BUG","FNBG","Benguela Airport (Gen. V. Deslandes Airport)","-12.609","13.4037"
"AO","Benguela","CBT","FNCT","Catumbela Airport","-12.4792","13.4869"
"AO","Benguela","LLT","FNLB","Lobito Airport","-12.3757","13.561"
"AO","Bie","ANL","","Andulo Airport","-11.4723","16.7109"
"AO","Bie","SVP","FNKU","Kuito Airport","-12.4046","16.9474"
"AO","Cabinda","CAB","FNCA","Cabinda Airport","-5.59699","12.1884"
"AO","Cunene","VPE","FNGI","Ondjiva Pereira Airport","-17.0435","15.6838"
"AO","Cunene","XGN","FNXA","Xangongo Airport","-16.7554","14.9653"
"AO","Huambo","NOV","FNHU","Albano Machado Airport","-12.8089","15.7605"
"AO","Huila","JMB","","Jamba Airport","-14.6982","16.0701"
